CO_PROCEDIMENTO;no_proc_autorizado
04.08.05.091-8;TRATAMENTO CIRÚRGICO DO HALUX VALGUS S/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO
04.08.05.092-6;TRATAMENTO DAS LESÕES OSTEO-CONDRAIS POR FIXAÇÃO OU MOSAICOPLASTIA JOELHO/TORNOZELO
04.08.06.001-8;ALONGAMENTO / ENCURTAMENTO MIOTENDINOSO
04.08.06.002-6;ALONGAMENTO E/OU TRANSPORTE DE OSSOS DA MÃO E/OU DO PÉ
04.08.06.003-4;ALONGAMENTO E/OU TRANSPORTE ÓSSEO DE OSSOS LONGOS (EXCETO DA MÃO E DO PÉ)
04.08.06.005-0;ARTRODESE DE PEQUENAS ARTICULAÇÕES
04.08.06.006-9;ARTROPLASTIA DE RESSECÇÃO DE MÉDIA / GRANDE ARTICULAÇÃO
04.08.06.007-7;ARTROPLASTIA DE RESSECÇÃO DE PEQUENAS ARTICULAÇÕES
04.08.06.008-5;BURSECTOMIA
04.08.06.009-3;DESCOMPRESSÃO COM ESVAZIAMENTO MEDULAR POR BROCAGEM / VIA CORTICOTOMIA
04.08.06.010-7;DIAFISECTOMIA DE OSSOS LONGOS
04.08.06.011-5;ENCURTAMENTO DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ
04.08.06.012-3;EXPLORAÇÃO ARTICULAR COM OU SEM SINOVECTOMIA DE MÉDIAS / GRANDES ARTICULAÇÕES
04.08.06.013-1;EXPLORAÇÃO ARTICULAR COM OU SEM SINOVECTOMIA DE PEQUENAS ARTICULAÇÕES
04.08.06.014-0;FASCIECTOMIA
04.08.06.015-8;MANIPULAÇÃO ARTICULAR
04.08.06.016-6;OSTECTOMIA DE OSSOS DA MÃO E/OU DO PÉ
04.08.06.017-4;OSTECTOMIA DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ
04.08.06.018-2;OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ
04.08.06.019-0;OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ
04.08.06.020-4;REINSERÇÃO MUSCULAR
04.08.06.021-2;RESSECÇÃO DE CISTO SINOVIAL
04.08.06.023-9;RESSECÇÃO DE TUMOR E RECONSTRUÇÃO C/ RETALHO MICROCIRÚRGICO
04.08.06.024-7;RESSECÇÃO DE TUMOR E RECONSTRUÇÃO C/ RETALHO NÃO MICROCIRÚRGICO (EXCETO MÃO E PÉ)
04.08.06.025-5;RESSECÇÃO DE TUMOR E RECONSTRUÇÃO C/ TRANSPORTE ÓSSEO
04.08.06.026-3;RESSECÇÃO DE TUMOR ÓSSEO C/ SUBSTITUIÇÃO (ENDOPRÓTESE)
04.08.06.027-1;RESSECÇÃO DE TUMOR ÓSSEO E RECONSTRUÇÃO C/ ENXERTO
04.08.06.028-0;RESSECÇÃO DE TUMOR ÓSSEO E RECONSTRUÇÃO C/ RETALHO NÃO MICROCIRÚRGICO (APENAS MÃO E PÉ)
04.08.06.029-8;RESSECÇÃO DE TUMOR ÓSSEO E RECONSTRUÇÃO POR DESLIZAMENTO
04.08.06.030-1;RESSECÇÃO MUSCULAR
04.08.06.031-0;RESSECÇÃO SIMPLES DE TUMOR ÓSSEO / DE PARTES MOLES
04.08.06.032-8;RETIRADA DE CORPO ESTRANHO INTRA-ARTICULAR
04.08.06.033-6;RETIRADA DE CORPO ESTRANHO INTRA-ÓSSEO
04.08.06.034-4;RETIRADA DE ESPAÇADORES / OUTROS MATERIAIS
04.08.06.035-2;RETIRADA DE FIO OU PINO INTRA-ÓSSEO
04.08.06.036-0;RETIRADA DE FIXADOR EXTERNO
04.08.06.037-9;RETIRADA DE PLACA E/OU PARAFUSOS
04.08.06.038-7;RETIRADA DE PRÓTESE DE SUBSTITUIÇÃO DE GRANDES ARTICULAÇÕES (OMBRO / COTOVELO / QUADRIL / JOELHO)
04.08.06.039-5;RETIRADA DE PRÓTESE DE SUBSTITUIÇÃO EM PEQUENAS E MÉDIAS ARTICULAÇÕES
04.08.06.040-9;RETIRADA DE TRAÇÃO TRANS-ESQUELÉTICA
04.08.06.041-7;RETRAÇÃO CICATRICIAL DOS DEDOS COM COMPROMETIMENTO TENDINOSO (POR DEDO)
04.08.06.042-5;REVISÃO CIRÚRGICA DE COTO DE AMPUTAÇÃO DOS DEDOS
04.08.06.043-3;TENODESE
04.08.06.044-1;TENÓLISE
04.08.06.045-0;TENOMIORRAFIA
04.08.06.046-8;TENOMIOTOMIA / DESINSERÇÃO
04.08.06.047-6;TENOPLASTIA OU ENXERTO DE TENDÃO UNICO
04.08.06.048-4;TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO
04.08.06.049-2;TRANSPLANTE DO HALUX P/ O POLEGAR
04.08.06.050-6;TRANSPLANTE DO SEGUNDO PODODÁCTILO P/ POLEGAR / QUALQUER OUTRO DEDO DA MÃO
04.08.06.051-4;TRANSPLANTE MÚSCULO-CUTÂNEO C/ MICRO-ANASTOMOSE NO TRONCO / EXTREMIDADE
04.08.06.052-2;TRANSPLANTE OSTEO-MÚSCULO-CUTÂNEO C/ MICRO-ANASTOMOSE NO TRONCO OU EXTREMIDADES
04.08.06.053-0;TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA MÚLTIPLA
04.08.06.054-9;TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA ÚNICA
04.08.06.057-3;TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ)
04.08.06.064-6;TRATAMENTO CIRÚRGICO DE MÃO OU PÉ EM FENDA / DEDO BÍFIDO / MACRODACTILIA / POLIDACTILIA
04.08.06.058-1;TRATAMENTO CIRÚRGICO DE DEFORMIDADE ARTICULAR POR RETRAÇÃO TENO-CAPSULO-LIGAMENTAR
04.08.06.059-0;TRATAMENTO CIRÚRGICO DE FRATURA VICIOSAMENTE CONSOLIDADA DOS OSSOS LONGOS EXCETO DA MÃO E DO PÉ
04.08.06.060-3;TRATAMENTO CIRÚRGICO DE HERNIA MUSCULAR
04.08.06.066-2;TRATAMENTO CIRÚRGICO DE POLIDACTILIA ARTICULADA
04.08.06.067-0;TRATAMENTO CIRÚRGICO DE RETRAÇÃO MUSCULAR
04.08.06.069-7;TRATAMENTO CIRÚRGICO DE SINDACTILIA COMPLEXA (C/ FUSÃO ÓSSEA)
04.08.06.070-0;TRATAMENTO CIRÚRGICO DE SINDACTILIA SIMPLES (DOIS DEDOS)
04.09.01.001-4;CAPSULECTOMIA RENAL
04.09.01.002-2;CISTECTOMIA PARCIAL
04.09.01.003-0;CISTECTOMIA TOTAL
04.09.01.004-9;CISTECTOMIA TOTAL E DERIVAÇÃO EM 1 SO TEMPO
04.09.01.005-7;CISTOENTEROPLASTIA
04.09.01.006-5;CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA
04.09.01.007-3;CISTOPLASTIA (CORREÇÃO DE EXTROFIA VESICAL)
04.09.01.009-0;CISTOSTOMIA
04.09.01.012-0;DIVERTICULECTOMIA VESICAL
04.09.01.014-6;EXTRACAO ENDOSCOPICA DE CALCULO EM PELVE RENAL
04.09.01.017-0;INSTALAÇÃO ENDOSCOPICA DE CATETER DUPLO J
04.09.01.018-9;LITOTRIPSIA
04.09.01.020-0;NEFRECTOMIA PARCIAL
04.09.01.021-9;NEFRECTOMIA TOTAL
04.09.01.022-7;NEFROLITOTOMIA
04.09.01.023-5;NEFROLITOTOMIA PERCUTANEA
04.09.01.024-3;NEFROPEXIA
04.09.01.025-1;NEFROPIELOSTOMIA
04.09.01.028-6;NEFROSTOMIA C/ OU S/ DRENAGEM
04.09.01.029-4;NEFROSTOMIA PERCUTANEA
04.09.01.030-8;NEFROURETERECTOMIA TOTAL
04.09.01.031-6;PIELOLITOTOMIA
04.09.01.032-4;PIELOPLASTIA
04.09.01.033-2;PIELOSTOMIA
04.09.01.034-0;PIELOTOMIA
04.09.01.036-7;RESSECÇÃO DO COLO VESICAL / TUMOR VESICAL A CEU ABERTO
04.09.01.037-5;RESSECÇÃO ENDOSCOPICA DA EXTREMIDADE DISTAL DO URETER
04.09.01.038-3;RESSECÇÃO ENDOSCOPICA DE LESAO VESICAL
04.09.01.039-1;RETIRADA PERCUTANEA DE CALCULO URETERAL C/ CATETER
04.09.01.040-5;SINFISIOTOMIA DO RIM EM FERRADURA (NEFROPLASTIA)
04.09.0.1041-3;TRATAMENTO CIRÚRGICO DE BEXIGA NEUROGENICA
04.09.01.043-0;TRATAMENTO CIRÚRGICO DE CISTOCELE
04.09.01.045-6;TRATAMENTO CIRÚRGICO DE FISTULA VESICO-ENTERICA
04.09.01.046-4;TRATAMENTO CIRÚRGICO DE FISTULA VESICO-RETAL
04.09.01.047-2;TRATAMENTO CIRÚRGICO DE FISTULAS URETERAIS
04.09.01.048-0;TRATAMENTO CIRÚRGICO DE HEMORRAGIA VESICAL (FORMOLIZAÇÃO DA BEXIGA)
04.09.01.049-9;TRATAMENTO CIRÚRGICO DE INCONTINENCIA URINARIA VIA ABDOMINAL
04.09.01.050-2;TRATAMENTO CIRÚRGICO DE REFLUXO VESICO-URETERAL
04.09.01.051-0;TRATAMENTO CIRÚRGICO DE URETEROCELE
04.09.01.053-7;URETEROCISTONEOSTOMIA
04.09.01.054-5;URETEROENTEROPLASTIA
04.09.01.055-3;URETEROENTEROSTOMIA
04.09.01.056-1;URETEROLITOTOMIA
04.09.01.057-0;URETEROPLASTIA
04.09.01.058-8;URETEROSTOMIA CUTANEA
04.09.01.059-6;URETEROLITOTRIPSIA TRANSURETEROSCÓPICA
04.09.02.002-8;DRENAGEM DE FLEIMAO URINOSO
04.09.02.004-4;INJEÇÃO DE GORDURA / TEFLON PERI-URETRAL
04.09.02.005-2;LIGADURA / SECÇÃO DE VASOS ABERRANTES
04.09.02.007-9;MEATOTOMIA SIMPLES
04.09.02.008-7;RESSECÇÃO DE CARUNCULA URETRAL
04.09.02.009-5;RESSECÇÃO DE PROLAPSO DA MUCOSA DA URETRA
04.09.02.010-9;RESSECÇÃO E FECHAMENTO DE FISTULA URETRAL
04.09.02.012-5;URETROPLASTIA (RESSECÇÃO DE CORDA)
04.09.02.013-3;URETROPLASTIA AUTOGENA
04.09.02.014-1;URETROPLASTIA HETEROGENEA
04.09.02016-8;URETROSTOMIA PERINEAL / CUTANEA / EXTERNA
04.09.02.017-6;URETROTOMIA INTERNA
04.09.03.002-3;PROSTATECTOMIA SUPRAPÚBICA
04.09.03.003-1;PROSTATOVESICULECTOMIA RADICAL
04.09.03.004-0;RESSECÇÃO ENDOSCOPICA DE PROSTATA
04.09.04.003-7;EPIDIDIMECTOMIA
04.09.04.004-5;EPIDIDIMECTOMIA COM ESVAZIAMENTO GANGLIONAR
04.09.04.005-3;ESPERMATOCELECTOMIA
04.09.04.007-0;EXÉRESE DE CISTO DE EPIDIDIMO
04.09.04.008-8;EXÉRESE DE LESÃO DO CORDÃO ESPERMATICO
04.09.04.009-6;EXPLORAÇÃO CIRÚRGICA DA BOLSA ESCROTAL
04.09.04.011-8;NEOSTOMIA DE EPIDIDIMO / CANAL DEFERENTE
04.09.04.012-6;ORQUIDOPEXIA BILATERAL
04.09.04.013-4;ORQUIDOPEXIA UNILATERAL
04.09.04.014-2;ORQUIECTOMIA SUBCAPSULAR BILATERAL
04.09.04.015-0;ORQUIECTOMIA UNI OU BILATERAL COM ESVAZIAMENTO GANGLIONAR
04.09.04.016-9;ORQUIECTOMIA UNILATERAL
04.09.04.017-7;PLÁSTICA DA BOLSA ESCROTAL
04.09.04.018-5;REPARAÇÃO E OPERAÇÃO PLÁSTICA DO TESTÍCULO
04.09.04.019-3;RESSECÇÃO PARCIAL DA BOLSA ESCROTAL
04.09.04.020-7;TRATAMENTO CIRÚRGICO DE ELEFANTIASE DA BOLSA ESCROTAL
04.09.04.021-5;TRATAMENTO CIRÚRGICO DE HIDROCELE
04.09.04.023-1;TRATAMENTO CIRURGICO DE VARICOCELE
04.09.04.024-0;VASECTOMIA
04.09.05.001-6;AMPUTAÇÃO DE PÊNIS
04.09.05.002-4;CORREÇÃO DE EPISPADIA
04.09.05.003-2;CORREÇÃO DE HIPOSPADIA (1O TEMPO)
04.09.05.004-0;CORREÇÃO DE HIPOSPADIA (2O TEMPO)
04.09.05.007-5;PLÁSTICA TOTAL DO PÊNIS
04.09.05.008-3;POSTECTOMIA
04.09.05.009-1;REIMPLANTE DE PÊNIS
04.09.05.010-5;TRATAMENTO CIRÚRGICO DE ELEFANTIASE DO PÊNIS
04.09.05.013-0;CIRURGIAS COMPLEMENTARES DE REDESIGNAÇÃO SEXUAL
04.09.05.014-8;REDESIGNAÇÃO SEXUAL NO SEXO MASCULINO
04.09.06.001-1;CERCLAGEM DE COLO DO ÚTERO
04.09.06.002-0;COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR COM AMPUTAÇÃO DE COLO
04.09.06.003-8;EXCISÃO TIPO 3 DO COLO UTERINO
04.09.06.004-6;CURETAGEM SEMIÓTICA COM OU SEM DILATAÇÃO DO COLO DO ÚTERO
04.09.06.005-4;CURETAGEM UTERINA EM MOLA HIDATIFORME
04.09.06.011-9;HISTERECTOMIA COM ANEXECTOMIA (UNI / BILATERAL)
04.09.06.012-7;HISTERECTOMIA SUBTOTAL
04.09.06.013-5;HISTERECTOMIA TOTAL
04.09.06.014-3;HISTERECTOMIA TOTAL AMPLIADA (WERTHEIN-MEIGS)
04.09.06.015-1;HISTERECTOMIA VIDEOLAPAROSCOPICA
04.09.06.017-8;HISTEROSCOPIA CIRURGICA C/ RESSECTOSCOPIO
04.09.06.018-6;LAQUEADURA TUBARIA
04.09.06.019-4;MIOMECTOMIA
04.09.06.020-8;MIOMECTOMIA VIDEOLAPAROSCOPICA
04.09.06.021-6;OOFORECTOMIA / OOFOROPLASTIA
04.09.06.022-4;RESSECÇÃO DE VARIZES PELVICAS
04.09.06.023-2;SALPINGECTOMIA UNI / BILATERAL
04.09.06.024-0;SALPINGECTOMIA VIDEOLAPAROSCOPICA
04.09.06.025-9;SALPINGOPLASTIA
04.09.06.026-7;SALPINGOPLASTIA VIDEOLAPAROSCOPICA
04.09.06.027-5;TRAQUELOPLASTIA
04.09.06.028-3;TRATAMENTO CIRÚRGICO DE FISTULA VESICO-UTERINA
04.09.06.029-1;HISTERECTOMIA C/ ANEXECTOMIA BILATERAL E COLPECTOMIA SOB PROCESSO TRANSEXUALIZADOR
04.09.07.001-7;ALARGAMENTO DA ENTRADA VAGINAL
04.09.07.002-5;COLPECTOMIA
04.09.07.003-3;COLPOCLEISE (CIRURGIA DE LE FORT)
04.09.07.004-1;COLPOPERINEOCLEISE
04.09.07.005-0;COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR
04.09.07.006-8;COLPOPERINEOPLASTIA POSTERIOR
04.09.07.007-6;COLPOPERINEORRAFIA NÃO OBSTÉTRICA
04.09.07.008-4;COLPOPLASTIA ANTERIOR
04.09.07.010-6;COLPOTOMIA
04.09.07.011-4;CONSTRUÇÃO DE VAGINA
04.09.07.013-0;EPISIOPERINEORRAFIA NÃO OBSTETRICA
04.09.07.014-9;EXÉRESE DE CISTO VAGINAL
04.09.07.015-7;EXÉRESE DE GLANDULA DE BARTHOLIN / SKENE
04.09.07.019-0;MARSUPIALIZAÇÃO DE GLANDULA DE BARTOLIN
04.09.07.020-3;OPERAÇÃO DE BURCH
04.09.07.021-1;RECONSTRUÇÃO DA VAGINA
04.09.07.022-0;TRATAMENTO CIRÚRGICO DE COAPTAÇÃO DE NINFAS
04.09.07.023-8;TRATAMENTO CIRÚRGICO DE FISTULA RETO-VAGINAL
04.09.07.024-6;TRATAMENTO CIRÚRGICO DE FISTULA URETRO-VAGINAL
04.09.07.025-4;TRATAMENTO CIRÚRGICO DE FÍSTULA VESICO-VAGINAL
04.09.07.026-2;TRATAMENTO CIRÚRGICO DE HIPERTROFIA DOS PEQUENOS LABIOS
04.09.07.027-0;TRATAMENTO CIRÚRGICO DE INCONTINENCIA URINARIA POR VIA VAGINAL
04.09.07.028-9;TRATAMENTO CIRÚRGICO DE VAGINA SEPTADA / ATRESICA
04.09.07.029-7;VULVECTOMIA AMPLIADA COM LINFADENECTOMIA
04.09.07.030-0;VULVECTOMIA SIMPLES
04.09.07.031-9;REDESIGNAÇÃO SEXUAL NO SEXO FEMININO I
04.10.01.005-7;MASTECTOMIA RADICAL C/ LINFADENECTOMIA
04.10.01.006-5;MASTECTOMIA SIMPLES
04.10.01.007-3;PLÁSTICA MAMARIA FEMININA NÃO ESTÉTICA
04.10.01.008-1;PLÁSTICA MAMARIA MASCULINA
04.10.01.009-0;PLÁSTICA MAMARIA RECONSTRUTIVA - POS MASTECTOMIA COM IMPLANTE DE PRÓTESE
04.10.01.011-1;SETORECTOMIA / QUADRANTECTOMIA
04.10.01.012-0;SETORECTOMIA / QUADRANTECTOMIA COM ESVAZIAMENTO GANGLIONAR
04.10.01.019-7;MASTECTOMIA SIMPLES BILATERAL SOB PROCESSO TRANSEXUALIZADOR
04.10.01.020-0;PLASTICA MAMARIA RECONSTRUTIVA BILATERAL INCLUINDO PROTESE MAMARIA DE SILICONE BILATERAL NO PROCESSO TRANSEXUALIZADOR
04.12.01.001-1;BRONCOTOMIA E/OU BRONCORRAFIA
04.12.01.002-0;COLOCAÇÃO DE MOLDE BRONQUICO POR TORACOTOMIA
04.12.01.003-8;COLOCAÇÃO DE PROTESE LARINGO-TRAQUEAL, TRAQUEAL, TRAQUEO-BRONQUICA, BRONQUICA POR VIA ENDOSCOPICA (INCLUI PROTESE)
04.12.01.004-6;COLOCAÇÃO DE PROTESE LARINGO TRAQUEAL/ TRAQUEO-BRONQUICA (INCLUI PRÓTESE)
04.12.01.007-0;RESSECÇÃO DE TRAQUÉIA MEDIASTINAL, CARINAL OU CARINOPLASTIA
04.12.01.008-9;RESSECÇÃO DE TUMOR DE TRAQUEIA COM ANASTOMOSE
04.12.01.009-7;TRAQUEOPLASTIA POR ACESSO TORÁCICO
04.12.01.010-0;TRAQUEOPLASTIA E/OU LARINGOTRAQUEOPLASTIA
04.12.01.011-9;TRAQUEORRAFIA E/OU FECHAMENTO DE FISTULA TRAQUEO-CUTANEA
04.12.01.013-5;TRATAMENTO CIRÚRGICO DE FISTULA BRONCOPLEURAL COM AMPUTAÇÃO DE COTO BRONQUICO
04.12.01.014-3;TRATAMENTO CIRÚRGICO DE FÍSTULA TRAQUEOESOFAGICA ADQUIRIDA
04.12.02.001-7;MEDIASTINOTOMIA EXPLORADORA PARA-ESTERNAL / POR VIA ANTERIOR
04.12.02.002-5;MEDIASTINOTOMIA EXTRAPLEURAL POR VIA POSTERIOR
04.12.02.005-0;RESSECÇÃO DE TUMOR DO MEDIASTINO
04.12.02.006-8;TIMECTOMIA
04.12.02.007-6;TRAQUEOSTOMIA MEDIASTINAL
04.12.03.001-2;DESCORTICAÇÃO PULMONAR
04.12.03.004-7;FECHAMENTO DE PLEUROSTOMIA
04.12.03.008-0;TRATAMENTO DE COAGULO RETIDO INTRATORACICO (QUALQUER VIA)
04.12.03.011-0;PLEURODESE
04.12.04.001-8;COSTECTOMIA
04.12.04.002-6;ESTERNECTOMIA COM OU SEM PRÓTESE
04.12.04.003-4;ESTERNECTOMIA SUBTOTAL
04.12.04.004-2;LIGADURA DO DUCTO TORACICO (QUALQUER METODO)
04.12.04.005-0;MOBILIZAÇÃO DE RETALHOS MUSCULARES / DO OMENTO
04.12.04.006-9;PLUMBAGEM EXTRAFASCIAL
04.12.04.010-7;RESSECÇÃO DE TUMOR DO DIAFRAGMA E RECONSTRUÇÃO (QUALQUER TECNICA)
04.12.04.011-5;RETIRADA DE CORPO ESTRANHO DA PAREDE TORÁCICA
04.12.04.012-3;TORACECTOMIA COM RECONSTRUÇÃO PARIETAL (POR PROTESE)
04.12.04.013-1;TORACECTOMIA SEM RECONSTRUÇÃO PARIETAL
04.12.04.015-8;TORACOPLASTIA (QUALQUER TECNICA)
04.12.04.017-4;TORACOTOMIA EXPLORADORA
04.12.04.018-2;TRATAMENTO CIRÚRGICO DE DEFEITOS CONGÊNITOS DO TORAX
04.12.04.021-2;TRATAMENTO CIRURGICO DE PAREDE TORACICA
04.12.04.022-0;VAGOTOMIA TRONCULAR TERAPEUTICA POR TORACOTOMIA
04.12.05.001-3;BULECTOMIA UNI OU BILATERAL
04.12.05.003-0;LIGADURA DE ARTÉRIAS BRONQUICAS POR TORACOTOMIA PARA CONTROLE DE HEMOPTISE
04.12.05.004-8;LOBECTOMIA PULMONAR
04.12.05.006-4;PNEUMOMECTOMIA
04.12.05.007-2;PNEUMONECTOMIA DE TOTALIZAÇÃO
04.12.05.010-2;RESSECÇÃO EM CUNHA, TUMORECTOMIA / BIOPSIA DE PULMAO A CEU ABERTO
04.12.05.011-0;RESSECÇÃO PULMONAR ASSOCIADA A BRONCOPLASTIA/ ARTERIOPLASTIA
04.12.05.013-7;CIRURGIA REDUTORA DO VOLUME PULMONAR (QUALQUER METODO)
04.12.05.014-5;METASTASECTOMIA PULMONAR UNI OU BILATERAL (QUALQUER METODO)
04.12.05.015-3;TROMBOENDARTERECTOMIA PULMONAR
04.12.05.016-1;PNEUMOTOMIA COM RESSECÇÃO COSTAL PARA DRENAGEM CAVITÁRIA/RETIRADA DE CORPO ESTRANHO
04.13.03.001-6;LIPOASPIRAÇÃO DE GIBA OU REGIÃO SUBMANDIBULAR EM PACIENTES COM LIPODISTROFIA DECORRENTE DO USO DE ANTI-RETROVIRAL
04.13.03.002-4;LIPOASPIRAÇÃO DE PAREDE ABDOMINAL OU DORSO EM PACIENTES COM LIPODISTROFIA DECORRENTE DO USO DE ANTI-RETROVIRAL
04.13.03.003-2;LIPOENXERTIA DE GLÚTEO EM PACIENTE COM LIPODISTROFIA GLÚTEA DECORRENTE DO USO DE ANTI-RETROVIRAL
04.13.03.004-0;PREENCHIMENTO FACIAL COM POLIMETILMETACRILATO EM PACIENTE C/ LIPOATROFIA FACIAL CAUSADOS PELA REDUÇÃO DOS COXIS GORDUROSOS DAS REGIÕES MALAR, TEMPORAL E PRÉ-AURICULAR
04.13.03.005-9;PREENCHIMENTO FACIAL COM TECIDO GORDUROSO EM PACIENTE COM LIPOATROFIA DE FACE DECORRENTE DO USO DE ANTI-RETROVIRAIS
04.13.03.006-7;RECONSTRUÇÃO GLÚTEA E/OU PERIANAL EM PACIENTE COM LIPODISTROFIA GLÚTEA DECORRENTE DO USO DE ANTI-RETROVIRAL, COM LIPOENXERTIA OU PMMA
04.13.03.007-5;REDUÇÃO MAMARIA EM PACIENTE COM LIPODISTROFIA DECORRENTE DO USO DE ANTI-RETROVIRAIS
04.13.03.008-3;TRATAMENTO DE GINECOMASTIA OU PSEUDOGINECOMASTIA EM PACIENTE COM LIPODISTROFIA DECORRENTE DO USO DE ANTI-RETROVIRAIS
04.13.04.002-0;CORREÇÃO DE RETRAÇÃO CICATRICIAL VÁRIOS ESTÁGIOS
04.13.04.003-8;DERMOLIPECTOMIA (1 OU 2 MEMBROS INFERIORES)
04.13.04.004-6;DERMOLIPECTOMIA ABDOMINAL NÃO ESTETICA (PLASTICA ABDOMINAL)
04.13.04.005-4;DERMOLIPECTOMIA ABDOMINAL PÓS-CIRURGIA BARIATRICA
04.13.04.006-2;DERMOLIPECTOMIA BRAQUIAL PÓS-CIRURGIA BARIÁTRICA
04.13.04.007-0;DERMOLIPECTOMIA CRURAL PÓS-CIRURGIA BARIÁTRICA
04.13.04.008-9;MAMOPLASTIA PÓS-CIRURGIA BARIÁTRICA
04.13.04.009-7;PREPARO DE RETALHO
04.13.04.010-0;PREPARO DE TUBO PEDICULADO
04.13.04.011-9;RECONSTRUÇÃO DE LOBULO DA ORELHA
04.13.04.012-7;RECONSTRUÇÃO DE POLO SUPERIOR DA ORELHA
04.13.04.013-5;RECONSTRUÇÃO DO HELIX DA ORELHA
04.13.04.014-3;RECONSTRUÇÃO TOTAL DE ORELHA (MULTIPLOS ESTÁGIOS)
04.13.04.015-1;TRANSFERENCIA INTERMEDIARIA DE RETALHO
04.13.04.016-0;TRATAMENTO CIRÚRGICO DE ELEFANTIASE AO NIVEL DO PE
04.13.04.018-6;TRATAMENTO CIRURGICO DE RETRACAO CICATRICIAL DA AXILA
04.13.04.019-4;TRATAMENTO CIRÚRGICO DE RETRAÇÃO CICATRICIAL DO COTOVELO
04.13.04.020-8;TRATAMENTO CIRÚRGICO DE RETRAÇÃO CICATRICIAL DOS DEDOS DA MÃO/PÉ SEM COMPROMETIMENTO TENDINOSO
04.13.04.021-6;TRATAMENTO CIRÚRGICO DE RETRAÇÃO CICATRICIAL EM UM ESTÁGIO
04.13.04.022-4;TRATAMENTO CIRÚRGICO DE RETRAÇÃO CICATRICIAL NA REGIAO POPLITEA
04.13.04.023-2;TRATAMENTO CIRÚRGICO NÃO ESTETICO DA ORELHA
04.13.04.025-9;DERMOLIPECTOMIA ABDOMINAL CIRCUNFERENCIAL PÓS CIRURGIA BARIATRICA
04.13.04.026-7;RECONSTRUÇÃO POR MICROCIRURGIA QUALQUER PARTE
04.14.01.002-7;MOLDAGEM / IMPLANTE EM MUCOSA (POR TRATAMENTO COMPLETO)
04.14.01.027-2;TRATAMENTO CIRÚRGICO DE FÍSTULA CUTÂNEA DE ORIGEM DENTÁRIA
04.14.01.032-9;TRATAMENTO CIRÚRGICO DE CISTO DO COMPLEXO MAXILO-MANDIBULAR
04.14.01.034-5;EXCISÃO DE CÁLCULO DE GLÂNDULA SALIVAR
04.14.01.037-0;TRATAMENTO CIRÚRGICO DE DENTE INCLUSO EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.14.02.041-3;TRATAMENTO ODONTOLOGICO PARA PACIENTES COM NECESSIDADES ESPECIAIS
04.14.02.042-1;IMPLANTE DENTÁRIO OSTEOINTEGRADO
04.15.01.001-2;TRATAMENTO COM CIRURGIAS MULTIPLAS
04.15.02.001-8;PROCEDIMENTOS SEQUENCIAIS DE CIRURGIA PLÁSTICA REPARADORA PÓS -CIRURGIA BARIATRICA
04.15.02.003-4;OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
04.15.02.004-2;PROCEDIMENTOS SEQUENCIAIS EM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.15.02.005-0;PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
04.15.02.006-9;PROCEDIMENTOS SEQUENCIAIS EM ORTOPEDIA
04.15.02.007-7;PROCEDIMENTOS SEQUENCIAIS EM NEUROCIRURGIA
04.15.02.008-5;PROCEDIMENTOS SEQUENCIAIS EM REDESIGNAÇÃO SEXUAL
04.16.01.001-6;AMPUTAÇÃO DE PÊNIS EM ONCOLOGIA
04.16.01.002-4;CISTECTOMIA TOTAL E DERIVAÇÃO EM 1 SO TEMPO EM ONCOLOGIA
04.16.01.003-2;CISTECTOMIA TOTAL COM DERIVAÇÃO SIMPLES EM ONCOLOGIA
04.16.01.004-0;CISTOENTEROPLASTIA EM ONCOLOGIA
04.16.01.007-5;NEFRECTOMIA TOTAL EM ONCOLOGIA
04.16.01.009-1;NEFROURETERECTOMIA TOTAL EM ONCOLOGIA
04.16.01.011-3;ORQUIECTOMIA UNILATERAL EM ONCOLOGIA
04.16.01.012-1;PROSTATECTOMIA EM ONCOLOGIA
04.16.01.013-0;PROSTATOVESICULECTOMIA RADICAL EM ONCOLOGIA
04.16.01.016-4;RESSECÇÃO DE TUMORES MULTIPLOS E SIMULTANEOS DO TRATO URINARIO EM ONCOLOGIA
04.16.01.017-2;RESSECÇÃO ENDOSCÓPICA DE TUMOR VESICAL EM ONCOLOGIA
04.16.01.018-0;REIMPLANTE URETERAL EM ONCOLOGIA - URETEROCISTONEOSTOMIA
